date,open,high,low,close,volume
29/06/2010,1.2667,1.6667,1.1694,1.5927,18783770
30/06/2010,1.7194,2.028,1.5534,1.5887,17194844
1/07/2010,1.6667,1.728,1.3513,1.464,8229870
2/07/2010,1.5333,1.54,1.2473,1.28,5141812
6/07/2010,1.3333,1.3333,1.0553,1.074,6879302
7/07/2010,1.0933,1.1086,0.9986,1.0533,6924658
8/07/2010,1.076,1.168,1.038,1.164,7719548
9/07/2010,1.172,1.1933,1.1033,1.16,4058610
12/07/2010,1.1967,1.2047,1.1334,1.1367,2203650
13/07/2010,1.1596,1.2426,1.1266,1.2093,2679974
14/07/2010,1.196,1.3434,1.184,1.3227,4196241
15/07/2010,1.3293,1.4333,1.2667,1.326,3745301
16/07/2010,1.38,1.42,1.3367,1.376,2621213
19/07/2010,1.4247,1.4834,1.3947,1.4607,2486560
20/07/2010,1.4566,1.4566,1.3366,1.3533,1825179
21/07/2010,1.3773,1.3933,1.3,1.348,1253443
22/07/2010,1.3667,1.4167,1.358,1.4,962346
23/07/2010,1.4126,1.4373,1.404,1.4193,654031
26/07/2010,1.4334,1.4334,1.3534,1.3967,922480
27/07/2010,1.394,1.412,1.3507,1.37,619676
28/07/2010,1.37,1.3933,1.3673,1.3813,467170
29/07/2010,1.3847,1.392,1.3334,1.3567,615929
30/07/2010,1.3466,1.3626,1.3033,1.3293,426818
2/08/2010,1.3667,1.398,1.3556,1.3947,719166
3/08/2010,1.4,1.4633,1.388,1.4633,1230991
4/08/2010,1.4633,1.4786,1.39,1.4173,920731
5/08/2010,1.436,1.4366,1.3366,1.3633,796357
6/08/2010,1.34,1.344,1.3013,1.306,742139
9/08/2010,1.3267,1.332,1.2967,1.3067,812682
10/08/2010,1.31,1.31,1.2547,1.2687,1281328
11/08/2010,1.246,1.2586,1.19,1.1933,797624
12/08/2010,1.1866,1.1933,1.1593,1.1733,691258
13/08/2010,1.212,1.23,1.1773,1.2213,634493
16/08/2010,1.23,1.2533,1.2174,1.252,486211
17/08/2010,1.264,1.2934,1.252,1.2767,447895
18/08/2010,1.306,1.306,1.24,1.2513,601313
19/08/2010,1.236,1.2834,1.222,1.2527,579101
20/08/2010,1.2433,1.274,1.234,1.2733,297490
23/08/2010,1.2727,1.3593,1.2667,1.342,1088030
24/08/2010,1.2833,1.314,1.2633,1.28,673075
25/08/2010,1.2774,1.332,1.2374,1.3267,503305
26/08/2010,1.326,1.3514,1.3067,1.3167,433750
27/08/2010,1.3166,1.3243,1.3,1.3133,379631
30/08/2010,1.3134,1.346,1.3074,1.3247,732754
31/08/2010,1.3107,1.3194,1.2887,1.2987,201018
1/09/2010,1.308,1.3793,1.3066,1.3633,495671
2/09/2010,1.358,1.416,1.354,1.404,487061
3/09/2010,1.3913,1.42,1.3773,1.4033,434744
7/09/2010,1.374,1.4,1.3666,1.3693,243328
8/09/2010,1.3773,1.3966,1.3733,1.3933,288374
9/09/2010,1.4,1.4034,1.3794,1.3807,376208
10/09/2010,1.3834,1.3954,1.3174,1.3447,386583
13/09/2010,1.3926,1.3933,1.3666,1.3813,360693
14/09/2010,1.3693,1.44,1.3687,1.408,654630
15/09/2010,1.3986,1.4666,1.386,1.4653,684740
16/09/2010,1.4767,1.544,1.3893,1.396,2685883
17/09/2010,1.4014,1.4214,1.32,1.3487,1198495
20/09/2010,1.378,1.4234,1.344,1.4037,947503
21/09/2010,1.3927,1.4367,1.378,1.3847,796024
22/09/2010,1.3914,1.3967,1.32,1.3247,962846
23/09/2010,1.326,1.3427,1.3,1.304,668077
24/09/2010,1.33,1.346,1.31,1.34,578988
27/09/2010,1.36,1.3874,1.3367,1.3687,418610
28/09/2010,1.4027,1.4327,1.384,1.4267,1214500
29/09/2010,1.4126,1.4686,1.4086,1.4653,1969405
30/09/2010,1.4666,1.4766,1.346,1.3603,2196563
1/10/2010,1.3793,1.3833,1.354,1.3733,599054
4/10/2010,1.362,1.4113,1.3533,1.3993,643581
5/10/2010,1.41,1.4187,1.4007,1.408,331936
6/10/2010,1.404,1.4172,1.3547,1.364,313552
7/10/2010,1.3713,1.376,1.356,1.362,141020
8/10/2010,1.362,1.386,1.3593,1.362,268110
11/10/2010,1.3626,1.3799,1.338,1.3493,171189
12/10/2010,1.3466,1.3522,1.3353,1.3493,243905
13/10/2010,1.376,1.39,1.3573,1.3693,320532
14/10/2010,1.4,1.402,1.36,1.3833,294612
15/10/2010,1.3926,1.3933,1.35,1.3693,284832
18/10/2010,1.368,1.376,1.348,1.3487,162734
19/10/2010,1.3467,1.3604,1.3334,1.3367,245135
20/10/2010,1.344,1.3794,1.336,1.3767,312453
